Email,Password,Role
ahsankhan@nabstechnologies.com,admin123,Employee
ahsanraza@nabstechnologies.com,admin123,Employee
faisaliqbal@nabstechnologies.com,admin123,Employee
hinasiddiqui@nabstechnologies.com,admin123,Employee
osamajaved@nabstechnologies.com,admin123,Employee
areebashah@nabstechnologies.com,admin123,Employee
shahzaibmalik@nabstechnologies.com,admin123,Employee
mehwishraza@nabstechnologies.com,admin123,Employee
taimoorahmed@nabstechnologies.com,admin123,Employee
sanafarooq@nabstechnologies.com,admin123,Employee
bilalqureshi@nabstechnologies.com,admin123,Employee
mahnooraslam@nabstechnologies.com,admin123,Employee
hassannawaz@nabstechnologies.com,admin123,Employee
nimrazubair@nabstechnologies.com,admin123,Employee
aliraza@nabstechnologies.com,admin123,Employee
kiranabbas@nabstechnologies.com,admin123,Employee
zohaibali@nabstechnologies.com,admin123,Employee
mariumshafi@nabstechnologies.com,admin123,Employee
umerfarooq@nabstechnologies.com,admin123,Employee
hibakamal@nabstechnologies.com,admin123,Employee
imrankhalid@nabstechnologies.com,admin123,Employee
ayeshabukhari@nabstechnologies.com,admin123,Employee
junaidrehman@nabstechnologies.com,admin123,Employee
iqrasaeed@nabstechnologies.com,admin123,Employee
saadanwar@nabstechnologies.com,admin123,Employee
fatimairfan@nabstechnologies.com,admin123,Employee
nomansiddiq@nabstechnologies.com,admin123,Employee
mishalhanif@nabstechnologies.com,admin123,Employee
hamzasaleem@nabstechnologies.com,admin123,Employee
komalkhan@nabstechnologies.com,admin123,Employee
rehanmirza@nabstechnologies.com,admin123,Employee
aqsanadeem@nabstechnologies.com,admin123,Employee
adeelhassan@nabstechnologies.com,admin123,Employee
sadiashahid@nabstechnologies.com,admin123,Employee
usmanbashir@nabstechnologies.com,admin123,Employee
lubnaqamar@nabstechnologies.com,admin123,Employee
kashifmehmood@nabstechnologies.com,admin123,Employee
aylarashid@nabstechnologies.com,admin123,Employee
shayanshah@nabstechnologies.com,admin123,Employee
rabianisar@nabstechnologies.com,admin123,Employee
salmanabbasi@nabstechnologies.com,admin123,Employee
zoyaimran@nabstechnologies.com,admin123,Employee
danishrauf@nabstechnologies.com,admin123,Employee
saharjamil@nabstechnologies.com,admin123,Employee
talhayousaf@nabstechnologies.com,admin123,Employee
nehaumar@nabstechnologies.com,admin123,Employee
adnanzahir@nabstechnologies.com,admin123,Employee
rimshanabeel@nabstechnologies.com,admin123,Employee
moizhashmi@nabstechnologies.com,admin123,Employee
anamhammad@nabstechnologies.com,admin123,Employee
admin,admin123,Admin
